Claim  Number,0,1,2,3,4,5,6,k,lambda,1.1,2.1,3.1,4.1,5.1,6.1,7,Unnamed: 17,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,R2
0,0.32580662164543805,0.32580662164543805,0.43017410095805275,0.8291542792254719,0.9967240196499365,0.9967240196499365,1.0,1.7761526154470542,3.1642055941932874,0.12122338195281879,0.35766249255902904,0.5973021966561669,0.7804573871650473,0.8949901175684212,0.9556484013216555,0.9833761878696223,,0.041854301963127706,0.0010147965116633724,0.027931800371678004,0.0023713872963446445,0.01034978683273135,0.0016872064210506136,0.00027635112974609173,0.08548563052634178
1,0.0,0.0,0.5807732512530234,0.6737284266075214,0.6737284266075214,0.9431669934104749,1.0,2.323361672578695,3.991408651857774,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.1279829337573888,0.0002763115929618729,0.011407154003551889,0.04897803962289387,0.0001564233410981954,0.00027596877976929744,0.20378208251040392
2,0.0,0.19032027838146007,0.36894421371772124,0.41988706037797247,0.41988706037797247,0.7278788795844985,0.9361181975724772,1.9374477020826517,5.322452686311522,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.028031715418234203,0.05219016116782695,0.13006528139211407,0.22576865663384182,0.051890582776194204,0.002234405095800882,0.5048860538967521
3,0.27140523794227317,0.5466551385681163,0.5810286869686581,0.6818819782430617,0.8946484829642269,1.0,1.0,1.2010602453792705,2.829283871910885,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.022542027673059493,0.03568627544524303,0.0002678848172007015,0.009731966001078129,1.5192132366761756e-07,0.001964800913163473,0.00027596877976929744,0.0704690755508378
4,0.16462438200579807,0.4141290930257215,0.509190848471533,0.509190848471533,0.5525014364783003,0.5675334241933097,0.9149133604143163,0.9286480175429956,5.0408447274697155,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.0018800177053523498,0.0031789376167579075,0.007780126560175212,0.07362640341074092,0.11733147123779526,0.15065304846928834,0.0046887340750494345,0.3591387390751594
5,0.0,0.0,0.0,0.0,0.21785681071842386,0.5498866554448943,0.9467748370197903,7.63200331865373,6.142234154735317,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.1279829337573888,0.3568818304869063,0.6092313044560708,0.45857470688748775,0.16466330824048261,0.0013405011438898944,1.7333798363849662
6,0.0,0.12209737043502185,0.14489558944955452,0.20217994791104948,0.3506994028575147,0.7568277094377267,0.984406247638897,4.767816806266222,5.648717683253468,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.05553075960505874,0.20475650768084636,0.33449191228552305,0.29630478467226673,0.039539817496113204,1.0374557539976565e-06,0.9453300706083021
7,0.21223257077964922,0.2588737073450535,0.3344120663957491,0.3344120663957491,0.5635252307781007,0.7820837493941526,0.9615720709580134,1.783221355033459,5.039405828518955,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.008275060534878928,0.009775932905690005,0.0691604831565365,0.19902362469246762,0.10990088444948974,0.030133549112853663,0.00047592131792494025,0.42674545616984144
8,0.05701740900737475,0.24637564180800328,0.5748469869188885,0.6092436791257776,0.7467062747324882,0.9417755851764767,1.0,1.8269528652530058,3.7900985288686253,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.004127780068229677,0.01240358495083792,0.0005084523166999711,0.029339930578376326,0.022002376021409968,0.00019316385353185744,0.00027596877976929744,0.06885125656885502
9,0.15634771866889707,0.5592739725652455,0.5592739725652455,0.5592739725652455,1.0,1.0,1.0,1.4169915265629847,3.056673285816095,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.001230782340326886,0.04061311067324551,0.0014532793827007689,0.04895542692850126,0.011016968160169798,0.001964800913163473,0.00027596877976929744,0.10551033717787699
10,0.1666113241794962,0.22031659573333037,0.3538805120408226,0.5211405383418304,0.7400811614998835,0.8346220606591558,1.0,1.9504029300761059,4.3561472043075185,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.0020562699753028015,0.018887122835038163,0.059299731597619774,0.0672842964165506,0.024011700461759218,0.014653553892461268,0.00027596877976929744,0.18646864395850113
11,0.3361707685665644,0.5455075312430977,0.5455075312430977,0.7195773942430362,0.7554250910918285,0.9443634421096908,1.0,0.9877233324971435,2.9012720697352945,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.046184398648423615,0.03525400777759726,0.002692400132704565,0.003715549978314711,0.019491835208272995,0.0001279270262081685,0.00027596877976929744,0.10774208755129061
12,0.31112518615350726,0.31112518615350726,0.6925902841021823,0.8119066923467394,1.0,1.0,1.0,1.655169781275246,2.8040755160451885,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.03604681014358179,0.0021735958393187408,0.00906197568049304,0.0009843270466027944,0.011016968160169798,0.001964800913163473,0.00027596877976929744,0.06152444656309893
13,0.0,0.17737570679901563,0.2437380767909399,0.34325235024072887,0.46946928879194566,0.7736000330892262,1.0,2.8070144200323313,5.27262378568071,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.03253381235949805,0.12507383765385646,0.19121410915221368,0.18110894399904282,0.03315090216376823,0.00027596877976929744,0.5780628255208885
14,0.018319638327361824,0.12679313447692592,0.37478511097449496,0.37478511097449496,0.46802968593559585,0.6306764122832024,0.9330450421322718,1.9897142793527358,5.507577285758629,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.01059779094466823,0.053339699458033296,0.049555551894795796,0.16463111051569584,0.18233631705069678,0.10562338335819817,0.0025343823875757132,0.5686182356096638
15,0.0,0.3830747818489384,0.6356072323560026,0.688398307688234,0.9537273081628592,0.9537273081628592,1.0,1.9406187481354762,3.2006249712610644,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.0006414952768371573,0.0014601078936790715,0.00848874727204952,0.003444405099108353,3.7893176263064676e-06,0.00027596877976929744,0.0290197650518097
16,0.0075493849835851345,0.2183500156040848,0.3123223308640195,0.3557552132692873,0.5513161145459794,0.7741356411103765,0.9628473562490217,2.2411398311255284,5.1019639806373975,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.01293128909959781,0.01943152617437806,0.08126692509854683,0.18043591796073594,0.11814490903033466,0.03295614856567975,0.0004219053894462133,0.44558862131871924
17,0.0,0.0,0.0,0.2609088065073288,0.46321603625301977,0.9208480663949941,1.0,5.729875420265334,5.265160367610753,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.1279829337573888,0.3568818304869063,0.270008996471532,0.18647042758851656,0.001212840436801374,0.00027596877976929744,0.9575382489336542
18,0.0,0.40256757061217585,0.40256757061217585,0.40256757061217585,0.40256757061217585,0.88858644941799,1.0,1.6812300356608991,4.838121626107133,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.0020088813263830474,0.03795806787099228,0.1428576432396411,0.24252737382380238,0.004500729397738521,0.00027596877976929744,0.44483391585106663
19,0.1365103252442506,0.1365103252442506,0.1365103252442506,0.3647046492836099,0.6461106967473309,0.7704003466899626,1.0,3.1368924529897,5.0584843014801235,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.0002324135065771255,0.04894567723287931,0.2124154892175138,0.17291297239046688,0.061964928672502834,0.03432629886888526,0.00027596877976929744,0.5310737486685946
20,0.0,0.1253128026583909,0.3053338936371876,0.49971257855273704,0.7322851019757373,0.8379868732115292,1.0,2.565522470782305,4.5371070941940115,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.054025667625262765,0.0853002004784043,0.07885994373498627,0.026488588436768896,0.013850242189837972,0.00027596877976929744,0.2735058626577695
21,0.0,0.0,0.0889561660977299,0.3224844252722812,0.3224844252722812,0.402390779934803,0.84775548961411,3.174162660474851,6.440080768361595,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.1279829337573888,0.2585109367544605,0.20980822707879535,0.32781788659002337,0.3061222387598027,0.018396094302146143,1.263343568655357
22,0.0,0.3360571986872153,0.3360571986872153,0.3360571986872153,0.6281075542297584,0.9021732883287551,1.0,2.1814777298460215,4.706701203240297,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.0004704485570536597,0.06829790330815676,0.19755847621395148,0.07125199838624065,0.002862318138401085,0.00027596877976929744,0.35542236479631295
23,0.0,0.0,0.040141563161020216,0.3136532070682652,0.5573936696521898,0.7626705267586447,0.9289906923089771,3.8146828013348135,5.35873822887622,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.1279829337573888,0.31053236714888327,0.21797646611623467,0.11400386522102185,0.037250311783838565,0.0029590335666015146,0.8254102290067086
24,0.17487678503826107,0.35642421312288125,0.601011196598695,0.7418202861620339,0.9318714280038084,1.0,1.0,1.749694960310884,3.119346271565026,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.0028742008647299976,1.7498307484187694e-06,1.3070556193418577e-05,0.0014986514160039576,0.0013566827201091322,0.001964800913163473,0.00027596877976929744,0.007985125080717696
25,0.0,0.0,0.0,0.14429969186048494,0.2795523865960408,0.6896056242319881,1.0,6.537559795672771,5.837052193484347,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.1279829337573888,0.3568818304869063,0.4047924477270827,0.3788228527582048,0.07079234074405977,0.00027596877976929744,1.3542536256661517
26,0.22445201713442642,0.22445201713442642,0.3193902479088785,0.3193902479088785,0.7122029981826997,1.0,1.0,2.7127896238439777,4.582462396765888,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.010647516948425315,0.01776755907010675,0.0772871282382216,0.21265236625280393,0.03342873070567264,0.001964800913163473,0.00027596877976929744,0.35402407090816307
27,0.0,0.17339191236029708,0.4115547929480294,0.4115547929480294,0.5591414729947081,0.7394863045624026,1.0,2.031830710250868,4.940650683978854,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.0339868074847874,0.034536907473349664,0.13614469999891765,0.11282664737194621,0.046737087287739634,0.00027596877976929744,0.37921336980924986
28,0.14744446190443491,0.3808190187106709,0.5988019277383166,0.7241719341882453,0.7241719341882453,0.7895323198735541,0.9873173926968928,1.279877253524881,3.5427440766727254,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.0006853531749240192,0.0005323169027472305,1.9769866097494945e-06,0.0031765365501432237,0.029195299186104338,0.02760303299800344,1.5442548201698817e-05,0.06120995834673369
29,0.0,0.0,0.3124232223401819,0.3124232223401819,0.3124232223401819,0.677515083051882,1.0,3.1980624709858696,5.671853092241882,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.1279829337573888,0.08120941229643688,0.21912648828467748,0.3394402749116966,0.07737234142760345,0.00027596877976929744,0.8601126708703125
30,0.35703542088993817,0.43717962090913387,0.43717962090913387,0.6075348276468747,0.8139759870969199,0.9514966825501038,1.0,1.1496048394208982,3.373435440231716,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.05558759184458752,0.006309537323718227,0.025669247812052383,0.029928265764053073,0.006571091087044461,1.7449355591783017e-05,0.00027596877976929744,0.12435915196681674
31,0.1446327363979122,0.38793852912050325,0.5576996709618939,0.5576996709618939,0.6087443954267894,0.834292758318614,1.0,1.2703007452819624,3.9950531686470234,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.0005460412405502268,0.0009115269327858306,0.001575788549907922,0.04965456131027258,0.08196417335635828,0.01473338765708875,0.00027596877976929744,0.14966144782673288
32,0.0,0.24306424290261194,0.2721579632634664,0.38786644937423703,0.6460064701211355,0.8505501381931627,1.0,2.4969341986736597,4.794194656736493,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.013152140465050075,0.1057796986971441,0.1541867887505941,0.062016829294574895,0.011051010580457082,0.00027596877976929744,0.3611676879803296
33,0.07417754248402196,0.4179488064429294,0.6386177924023325,0.770368395141169,0.9653257027377998,1.0,1.0,1.9004878950467563,2.9792145941522596,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.0022172485316546363,0.003624254512286778,0.0016992465419548972,0.00010331320638486157,0.004940325474712752,0.001964800913163473,0.00027596877976929744,0.014825157959926696
34,0.14537384683107096,0.211747812560711,0.22595998560870434,0.22595998560870434,0.4415311380031208,0.772270406147086,1.0,3.4432558847501147,5.447946174435555,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.0005812263188786158,0.021315769976181294,0.13796461931851164,0.3075509017193344,0.2056687041007999,0.033636850776215504,0.00027596877976929744,0.7069940409896907
35,0.19505887419112664,0.19505887419112664,0.5392342822468896,0.7263498689973507,0.8882450220098188,0.9760334308847749,1.0,2.089853162873385,3.4817878364025305,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.005445504718727867,0.026467434350416794,0.003382770776156644,0.0029357797784785433,4.61479984906044e-05,0.00041450947447887034,0.00027596877976929744,0.03896811587651863
36,0.19820717444015942,0.529221811647233,0.6540421795928124,0.8833773204122147,0.9578345517886023,0.9578345517886023,1.0,1.5314405822153216,2.5878546108290705,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.005920065729229281,0.02940360252232106,0.0032088039169576622,0.010577014803144174,0.003943375037972217,4.6683075472674644e-06,0.00027596877976929744,0.05333349909694095
37,0.0,0.11961772585997453,0.5125708946281552,0.6785464740213341,0.8341621116317635,1.0,1.0,2.5843802082910874,3.734487353644092,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.056705563016421746,0.007195277155916919,0.010401191424406611,0.0037059046882936464,0.001964800913163473,0.00027596877976929744,0.09495395739071168
38,0.09270724841126297,0.4901379444824906,0.8120060364944867,0.8120060364944867,1.0,1.0,1.0,1.9747114626114952,2.526227680281117,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.0008155572304850227,0.0175273556128447,0.04605752176878686,0.0009905705598190872,0.011016968160169798,0.001964800913163473,0.00027596877976929744,0.07864874302503824
39,0.0,0.20455204811354205,0.20455204811354205,0.5126086199644083,0.7235588500337925,0.921392578698209,1.0,2.880584455400127,4.507610406471232,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.023468700883735948,0.15432627167828353,0.071783315644725,0.029405185924482335,0.001175210713344583,0.00027596877976929744,0.2951399050370807
40,0.10430639154605274,0.35574682970458243,0.822843403311772,1.0,1.0,1.0,1.0,3.1248822996655665,2.5396848580468356,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.0002876015592106524,4.000780442862825e-06,0.05082658839176461,0.048165893326773124,0.011016968160169798,0.001964800913163473,0.00027596877976929744,0.11254182191129382
41,0.26966304181851036,0.26966304181851036,0.6374908146355027,0.6924190213168981,0.6924190213168981,0.6924190213168981,0.9216455755488723,1.033032489781631,3.8570595213835372,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.02202191617467141,0.007758788058901963,0.0016076042501558193,0.007764021351712306,0.0410545533820474,0.0693031443829365,0.0038120889338949535,0.15332211653432035
42,0.0,0.48241137671919865,0.6369144939275887,0.6420779921688667,0.7026842788673279,0.912643895598342,1.0,1.4308844216996996,3.4684382975974066,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.015541200637992183,0.0015617213067796512,0.01916970766150816,0.03700005168189824,0.0018515834417063743,0.00027596877976929744,0.09010548492239388
43,0.4215334153954384,0.4215334153954384,0.4215334153954384,0.4215334153954384,0.4215334153954384,0.81510527723462,1.0,0.7905071472137227,4.700073876440807,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.09016099453652811,0.004068703624456207,0.030927604409639726,0.12888049034199692,0.22420683201591346,0.01975954477182466,0.00027596877976929744,0.4982801384801284
44,0.0,0.10621390669194468,0.2157265033111524,0.41861846265232566,0.7389982871388151,0.8749306323986981,0.9685824633461767,3.1431098291054003,4.692796331106524,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.06326890950806964,0.1456715086591791,0.13098191922280006,0.02434847120332955,0.006519479321488678,0.00021919479310135084,0.38571473412070834
45,0.16937191459948694,0.16937191459948694,0.647372717027875,0.7543664519884021,0.7543664519884021,1.0,1.0,1.8961611086828063,3.4397363701891193,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.0023142549257083667,0.035485182145233815,0.0024976848210729948,0.0006846728262164427,0.019788555831868386,0.001964800913163473,0.00027596877976929744,0.06301112024303276
46,0.15743643637675964,0.18014095257811336,0.34583878868951307,0.5410839804075509,0.678250531914108,0.7327021010120106,0.9032406368933036,1.688113747465511,4.7271476803151415,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.0013083575411205201,0.03154391689213986,0.0632809672603081,0.05733569197935942,0.04699691637118067,0.04971643435159704,0.006423550429334275,0.2566058348250399
47,0.19795763029881772,0.2931757290854824,0.4761795029038279,0.6366784909011373,0.6915494915205647,0.7679222872452081,1.0,1.3822105043006114,4.043025573282571,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.005881727169136652,0.004169452230998385,0.014693408665285682,0.020694035076455664,0.04140767638406561,0.035250677529342765,0.00027596877976929744,0.12237294583505406
48,0.02026342916450908,0.02026342916450908,0.20858293896553232,0.2477430513962904,0.3983201675815751,0.5348728606269681,0.8252156307275396,2.782970023185952,6.196028816522962,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.010201359945492655,0.11389517732696222,0.15117549858984247,0.28386481558883897,0.24672885720102442,0.17707353588894836,0.025018400941638517,1.0079576454827477
